id,voted16,trump16,clinton16,voted12,obama12,romney12,democrat,republican,liberal,conservative,age,female,white,black,hispanic,asian,income100,church,south,apprentice,homealone2
108,1,1,0,1,1,0,0,1,1,0,70,0,0,0,0,0,0,0,1,1,0
109,0,0,0,1,1,0,0,0,0,0,58,0,0,0,1,0,0,0,1,0,0
110,0,0,0,1,1,0,1,0,0,0,33,0,0,1,0,0,1,1,0,1,0
111,1,0,1,1,1,0,1,0,0,0,69,0,1,0,0,0,0,0,0,1,0
112,1,0,0,1,1,0,1,0,0,0,63,1,1,0,0,0,0,0,1,1,0
113,1,0,1,1,1,0,0,0,1,0,66,1,1,0,0,0,0,0,1,0,0
114,1,0,1,1,1,0,0,0,1,0,39,0,1,0,0,0,1,0,0,0,1
115,0,0,0,0,0,0,1,0,1,0,25,0,0,0,0,1,1,0,0,1,1
116,0,0,0,1,1,0,0,0,0,0,30,1,1,0,0,0,1,0,0,1,0
117,1,0,0,1,1,0,1,0,0,1,43,1,0,1,0,0,0,0,1,0,0
118,1,0,0,1,1,0,1,0,0,0,52,1,1,0,0,0,0,1,0,0,1
119,1,0,0,1,1,0,1,0,1,0,26,1,0,1,0,0,1,1,0,0,1
120,1,1,0,1,0,1,1,0,0,0,60,1,1,0,0,0,0,0,1,0,1
121,0,0,0,1,1,0,1,0,1,0,69,1,0,1,0,0,0,1,0,0,0
122,0,0,0,1,1,0,1,0,1,0,27,0,1,0,0,0,0,1,1,0,1
123,0,0,0,0,0,0,0,0,1,0,52,1,0,0,0,1,0,0,0,1,0
124,0,0,0,1,0,1,0,0,0,1,55,0,1,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,35,1,1,0,0,0,0,0,1,0,1
126,1,0,0,1,1,0,0,0,0,0,30,1,1,0,0,0,0,0,0,1,0
127,0,0,0,1,1,0,0,0,0,0,57,1,1,0,0,0,0,0,1,0,1
128,1,1,0,1,0,1,0,0,0,1,67,1,1,0,0,0,0,0,1,1,0
129,1,0,1,1,1,0,0,0,0,0,72,0,1,0,0,0,0,0,1,0,1
130,1,0,0,1,1,0,1,0,1,0,36,1,1,0,0,0,1,0,0,0,1
131,1,0,1,1,1,0,1,0,1,0,59,0,1,0,0,0,0,0,0,1,1
132,0,0,0,1,0,0,0,0,0,0,48,0,1,0,0,0,0,0,0,0,1
133,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,1,0,1,0,0,1
134,0,0,0,1,1,0,0,0,0,0,28,0,1,0,0,0,0,0,1,0,0
135,1,1,0,1,0,1,0,0,0,0,48,1,1,0,0,0,0,0,1,0,0
136,1,1,0,1,0,1,0,1,0,1,54,1,1,0,0,0,0,0,0,0,1
137,1,1,0,1,0,1,0,0,0,0,68,0,1,0,0,0,0,0,0,0,0
138,1,0,1,0,0,0,0,1,0,0,32,1,1,0,0,0,0,0,1,0,0
139,1,0,1,1,1,0,0,1,0,0,51,0,0,0,1,0,0,0,1,0,1
140,0,0,0,1,0,1,0,0,0,1,42,0,0,0,0,0,1,0,0,0,0
